coinbase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXCRxboJTCFX5V5aTQqQ8GDb6wYh4pkiHR,MV6o9y9C2wMukaCexbiqrsy3fYVHRfmfbt,MQCFu2e7s6bsSbpCqJ6DGY7N6VfkT7VtYV,MAkCKo2QF5vGcpsegMewqLFNJtbMDJgtkB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNcqkWtGP1MtrUKXXoiVxeWNSFpmMGS82E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDnjcoAYVvvUb7BuZv8Er9tyaBUWq8sQCa,MLdJDZDkKzd4kU5bz96rYSbvMJ9thjYegA,MJn2tQCvQGBta93TNw3dVaWBkMgnoWZDoA,M81NnqcNDdWU3FVTeckHqkEhGkXVEN1e8B,MDuqsQBSbWSrMCAVQdowbQjFe6TSJHt4Bh,MLoQTTxJQmieq7ApJTM1jrgGMJfY9A9L4w,MPkMe8sMq7bsXKS3bxMoNwzFapewwsxDy8,MPFaNzGHQzxVKZ4Pgiqm5S3mZrAqCvLuRw,MGDJjhEr8Wew8VP9j5Bk7cxoxDYXFQ3HDt,M97BSjXjBKCas8bEU5fULwzn5L7obaJM4m,M9of89KC9XDdv38AGaz6oCYEqQYWuKEAbq,MErChsqHRkE7kj3t327ebRJ3gZH5ybNdRJ,MR9BP5dZfCizfdHZjwMfLFk89Kp1JPhN4f,MMobakoJ4rdT7X1P1TpqfH992GyAtQ4zS6,MFUc8EuuSafaeHxPTzn8hQbzEwTTo4bqiQ,MT5FUaX3CWugUR64YxhN4uUQSZVstht2xG,MVPVmbbm7g3f9PF2xRV6RSoSnw8xfr8kNj,MNi1F7h2XXnksLwbx2HBbtk29F6xMRoj7R,MUGz3TGYGaPzKsUvNYryD37hk83vBA6Qps,MUzBWU2cyBP7fVBuPHX29XDDcR9HuVQ2rS,MErChsqHRkE7kj3t327ebRJ3gZH5ybNdRJ,MCPhsFRffDLDpzatPQMRGUk5Lfx4Z4atJB,MLgkZqV5qYRMPzKdswXBJpEykkHp42WNts,MEVfJMCrGZ1eLiefGZPXguePXdqoz1xjEz,MT5FUaX3CWugUR64YxhN4uUQSZVstht2xG,M8FC9DKhwX169LMe6EvjPo3ZoXEYLHhZ2H,MRzMT5vnkqUV1bJD7sVRwXsi3AoNQFBPk8,MR4fBvvk91ewJAps58KJhZhFEuh5btp4jP,MT5FUaX3CWugUR64YxhN4uUQSZVstht2xG,MM7nHegeuCp49Kv65dqMZyTxQ1dCp6KRt6,MRxaVk1md1nE2Eugzgpm2TX28Gnu7xcHAV,M9MngGXEVmfbYTZZNR8W6AMdr4rBMQS6ef,MMobakoJ4rdT7X1P1TpqfH992GyAtQ4zS6,MGWpv27ZYyvXe7bPv2acGfTDyPGRGfm9ru,MVPVmbbm7g3f9PF2xRV6RSoSnw8xfr8kNj,MVPVmbbm7g3f9PF2xRV6RSoSnw8xfr8kNj,M87STrDEA5xkaxEpQ2orDgoGPGFVTW4yWN,MAWU1Jhq7zWrYTHxx5m8gJzbNcSCdgnPYy,MFUc8EuuSafaeHxPTzn8hQbzEwTTo4bqiQ,MAB387qRiZrq5XQNazCg9Z8ghYbBFGicpq,MMobakoJ4rdT7X1P1TpqfH992GyAtQ4zS6,MDc4VvDWdpfXHd17EXWJgptRGZ15Gre15X,MDRnAzmog2mQYUKM1dBvt885zUeBJAKZPP,MQneJZgMCeB9uRTPWcgDHoScnVbfN5HPMw,MGpQvfrYTqXo2DrMWPe31rVxTBsqmyHTZk,MErChsqHRkE7kj3t327ebRJ3gZH5ybNdRJ,MPozg9Qb6zARFEzrezx1nqj4xfLp9zpd97,M8w9iZqDJ3oc64WXsfwWeLRJXMdYTLvuCs,MAB387qRiZrq5XQNazCg9Z8ghYbBFGicpq,MCPhsFRffDLDpzatPQMRGUk5Lfx4Z4atJB,MErChsqHRkE7kj3t327ebRJ3gZH5ybNdRJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBcGXj27r8ktKbVkAoZs7oRwXxHfp3iDyy,MGPqhj5r4ifrUQKGket7MNpiLWnxWdAMQd,MUREhPHS1N1Enne57Hp1VR5w5pHGTjFGGV,MLLdcCW11DQppiNF7i5CjwTBQe2xanQ7yc,MDWkwTG6w8At2y7PJjxDt8BCfbaD9iz9CK,MFX6C2kdXn7b7FnhrJzhmFg4keZutZDXCm,MSEimhnDP8ANRN4D75KoBPqKYDf658GovE,MJN27kuXXsCz9XenMUEHxuFcCaMsMLh1ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNHueQXbxHCokejwGgK1tpgv4cqzrBs5sm,MUYTv8XgUPqj6wbVNFaYGgdzfhfKf76VCv,MWuR1CUtf7DotU5QNbEXpvBEu8WzSnrEZF,MVKM2YAuvkaL8KzJHrD7aKq6VzF3ZFQDgZ,MTFtuBJ9nPv8PkGGHMsvBwk1QegTCQXUyA,MNwsjeQpEXQnFHiDwAwkjdy48MKGNoiTvq,MLn9PeF6WTzNTQmFmAm592rSX3on8W3A6j,ML8oE6Atg5nSVrdJuxUVdc4uwSXFa9ZHfa,MA7YdRyZFtJzjDUj7eE4dXqufYit1YyxgP,MHq6FVLb5G2x28SweUiCLwxRrMJNWBeMso,MEcJeMs2riHtRsKYaJcNZT1JV7e1ZzBvjW,MFq5QyB2iTfJ9GjULKiz21swUHPM8jMYUy,MJesURQyfpECWpJK2a9eTJpzMnnR9J8tvJ,MXE8AqowJxS3hcz1iPPGSiUViTMNQMUMhv,MBdZYTxBCmTDb9SkK1udqfgUbtgUdZunnw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKbSh71bgLT529ZhqDTStPFFVbhqfWPANf,MSFSUoRLZEGgyi8wpQVMNUokd4RUxUq9kv,MHhj9QAK6bmkTAuwAD2asv8mSocFSmpt8W,MT5C7Hkwu2Z7ce2VgrxxUJqzqQmt4GDLt6,MNqgTqoHqjkysG91QEWymEoMdYUSCnwEmm,MJLyNAgjXJjxMAeqH4JrdJtddbEPcJjbjy,MTrRnzdawfYUeuwJokcgZE3WV27sGMUxqU,MPoGHexW2bqv7UbCk7Fe4yccjkLUAER3TV,MKtvcBfMAN6fxybKqvBTjQEHTpsxg6UyE6,MHsq7KWRdhPfiksuCTsYQUABkfM4T3Nsoz,M8iqy9tQ57R2VUmNqxjziaV8gdqgNsBbd6,MFohXcu6wzxCY9fiFYTDUS4KmXMXqwDfb6,MC8Js3uqJ8yEYnNMFh66PBYwLqG6VwkVPS,MJzQSuTCNnM3uR6yYZjA1kU7qVsEYg73P8,MJUL8jhPKEZVZLpsnu8iRjPhLDRA6Zm2Hq,MLgkZqV5qYRMPzKdswXBJpEykkHp42WNts,MLgkZqV5qYRMPzKdswXBJpEykkHp42WNts,MKpFHZUsUqtyL97pGMpE2KAm4XmRfvaVeG,MPcHtjoeM4RgUdanZRFwurpSYa7rDzHmD5,MQmtVz9ALfJkdYDgaQMEHqFnReensk4yy2,MTkWpqm5BYZQhfscvE3zGPoyaNNTEsXmWx,MPGLgoijXg1cXqFM5gabp8cWDhcdAyB7un,MUwPjxSt9pk6TzJqqM8ezWHjzJpMtKef5g,MLgkZqV5qYRMPzKdswXBJpEykkHp42WNts,MBfCuX4CDo4K1CRkCEB9NxpJ7UuSEq4YKS,MDpPqhKDFL8HnSGpWidkXn8DRfWnkzqRrS,MR9BP5dZfCizfdHZjwMfLFk89Kp1JPhN4f,MMG69D4yV4xeDWPXv5jSA2vh9cNhQFn6rP,MASi8dwNqFvYiNkK5mn7yZUNwdkYSfqSYc,M8ZigpaZcGm7Ny1qaqdneeGF3rzRA4XsX8,MG6Rnd56ox7VoMeJ69ToWmvoSMhiUXbrJi,MQUm6UnJyF8nsfyv9deyJc1uj9KX6WXTKD,MBfCuX4CDo4K1CRkCEB9NxpJ7UuSEq4YKS,M8Q7d2Z6fFowBFyuDyQu9fZEiN5f83U39v,MAXit3DV67BLFcjab67j312ynDmhZWvsZQ,MNnrYF2SH5Q9VhJUKuAELuAuWpRv4Y3yr5,MM3TBkZUcbTytK4HkhwyLvoZ6fwpPqhz9C,MAkkPQYvbngndTRXePzC9E1g22N3TcKuiw,MK4ZRyj7HNXgNcYNGZwE4qWCBWSXGX9caV,MDpPqhKDFL8HnSGpWidkXn8DRfWnkzqRrS,MDYDiCUjMPHAwPfDebGVbc3wh2x3FnfPKk,MNmDkPPHxWsm4z4HQjdo29Q4WQ9PiuzNEc,MLUFZpCzTHTkXFcuenag2R8q62UNCRjNa1,MR9BP5dZfCizfdHZjwMfLFk89Kp1JPhN4f,MHoSaj7yaqSPtXLuFZMJj4XddYBytW9Nqp,MKpGVfb9r4f4CgDFwBAsuG1pibSkZfdN1E,MBhCMqakiuSiPANhYGZcYbYrsfDuN6hUNf,MDQfLttviGTPAVuce2MDfGCmdqPHGvCD2Z,M86gJT8JtsVioDzEF2zrxs25VQVbeUkLki,MDpPqhKDFL8HnSGpWidkXn8DRfWnkzqRrS,MQ6Vp79yjAPeabzvakf92RtpYNbeDX55ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M95bA6a4BcYWrXj3Vviwnu5EsWvdZ6ip8t,MT6xNmpZmNPCKbL7rad8dTfpWduyi51fG4,MLThwh31M3LNKKvsPZcfYys9aeQEmyzzwe,MUWF3xzasyv9qPy2wNYyBM1LTLFgf6MofY,MQiQfFJncGfK3aoWh5p6UwbVACmSCJiq5J,MJV1ds7GFNg6RChNsbDJTRQhPQvGJkNvMa,MNZb4pwZXnutXm19Rq6c7uLTU8Ueg54e2p,MSxTuG4kgs4aVVPsc5RYuwndvdEhestHGW,MK4XUa8sCcXvE8mZXGGNo7KquP7kbcHwPP,M8tyP8mhmN69a2aBH1FeFsKL4gCkgqsVCx,MA4Mqj3y6ems7oWNJMJV5wWz4HMvbxw9Jo,MHcajEqfjDYxFFHZMyRPSnN6C1J6DeCjwE,MNwc2qdQZx1mxpJYuFiTAeWBQu5NrB4e13,MX1QLDGfDEkFVQuB1eTJCvwEnfRNXCbhPT,MPiHRkTfjAwbtuQzrjRYm4ewiRThk6GQg3,MX8b4k7fn39jiAxrYQMPQ4TVzwSrZwrSjE,MQTLrBKoAVLqxayC7rHXbQNeSPr8b33J1B,MVg2KuTafbKaXYHaB2aBFMBabKHN3ak7fA,MWDphZWD5GeC993nqne4Hc4PGherkNQJnR,MAZNdqa3oSmLv6iEuhGpHxNtgedn8o43bX,MGrF4itqitstQECxi7UsXCtWmKKzJJByQ8,MCmTYDFzrJq3kbvwoFYcEkT1og3kgZ6WUg,MR3M9hJkZnBXvonL8KdetmZsseGky4QYTW,MJCVPEjcXKXx2Zh9fTWawhrRAgHxhogLZn,M8wtEixfCDxdjo2aSkYnSPRFjQexHTnjoK,MJZRUsnHzggcHsAxSrN4ujrxdR8Pb6weQk,MJ5WukE1B2pZJaFvXKZyutdSDyCeLj5YqB,M9uWbgHcp3scyVft199eHj5KwKcSGS6QrR,MK4XUa8sCcXvE8mZXGGNo7KquP7kbcHwPP,MDsmCFdh5sj8w5UwndDVaqBFiUHqPcYjmL,MSzbwXfBFVuYV3id5trCYjC87R7th2BDva,MPVvtpWmNY9EXsXxrVCH3Lv5N4X6cm8TYE,ME7cesJ2cqSfLFYrCsXHzQ8hQkTiXbHSZ8,MRWRpq8ARg6zTAYzFj6EFHc3DFhvmLeP6Y,MW5CwhC2wFmG1NkWwfeZAKsi1uEuY3CbsW,MGeLtJhQnf18YxhEtDP5e5TkA1VaPXuMoy,MNq8YSZovHA4MbBYXgzdWU6x5nxDn48xxy,MX2jvogve3vUp4bLc5HMdt5QB5RsP5cwCw,MT6HqrG1z7rZC4b6zVkgAeB1RSY7t8PGP9,MBvRA8hRxK7dqxK15U4oRbm7tJZnhy83Ds,MA3uYaADMuLBNrwX3GacX7hw1DVmErvBXj,MJDKaXW3HddMsqCX8d535h7AvvaBBUPJHg,MGS4JmP7TeTkZ4w6phT1L4dNUVeaR7VsnL,MUBNVDz7HbaW2YLsGUZv7c2AQWzNSpJ61A,MCQNo5SxPR56aSFoHVhkfGGSMsTwBytF1N,MDvkTGsRaWZxK5UZghu7fW2f7qCC35xG24,MAJhE8s6qXNTe1ykADBAeG8prjytep4N5M,MD94TTV6a4Mrxxmv4r7RUMn9DFtBdnVXu4,MG4np5wMd4UpHAMzuvTUjJ4PWDLfFjhMfk,M9uAW2F4vcYVciGkctGjKkm4x7neS7zmPG,MFDTbc1a99U5SdQeMtY4XF7CZqsDcqrZ84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVPVmbbm7g3f9PF2xRV6RSoSnw8xfr8kNj,MWqz6RmJ5FJtAhNKpiR6iyCUkrirrTCvN3,MHiqq5MvRN8uZW6J691WTFexPLHCijxSfg,M9G4QPqFa41kv2uzKPwwiuqdG3K2GFixuW,MKEwjK44N3tadR7434aWmTRyCbPuM6bSos,MPevSzv4K1N5UUhqr7awDvmSWiNi8GaYGX,MNvDAAgK5Lx7ZJvhWkmBdeJ29P3FKGWgm5,MCNFhGcJnH7YWrAkjYWpSjwpCqCfnFmunS,MPqx6u9Yj8gSkuEkH4YEobs9aCmT89uofs,MD38vDG7rGKpgn24pxKgGLfLZkZN2FLBJK,M8LTKXhXM6me1dfPfadbmy7tGVzTtzvSjH,MN8HwWHceoW7JjbnwKzMbXjVUgoRTrZFbk,MA7fEvGxQZMA4JBxsz7wiSGg5NUboDrgKM,MM1ryeZLSJZxyU9DKtUTyvYNMr8xwQL3Kw,MMHpywzbVdgRFWvrjvMYnzjdRAoBuC56sn,MHwPhhnZtx1GUTfMVAndjTASubAyaXd4jk,MM5CsKSthVPExcRZF3PrVuV28trf3bQ35E,ME7E8XvjRAL54fd8yXkZjHcCnX9toXwCDr,MAaZ3qd4VNQFf6tXjAXWHANndTqHXmgNYE,MApzhDRw6XwbpHx1i74vsEoJBFaP9aByVf,MMQPqEH2PrNexQRezu1cjk1WBagiM7p1sE,MB9CUNf4Wme8pB2gUa9LXpuPkUzpmRhnKn,MLiT28AmjN9fUNiXMuPRsJDqi7zW7CPskR,MQ9xWbF7NpBQuB9hxqRUYMtWNS6XDjU2vq,MLhwByzDH77zVrMgf5ev6sgxpGBjN5iiWN,MPH3j3KKasv6faF9u7QAR2hztxRcUWu1P4,MCxP8Qf1YPPb7UQ2Vv5YvV7DxKgDoUpQ7H,MFbDKCJFKgWKi4VSqoX9shQYhqy1biMyTn,MSrHsHkAM8isBdPD4p6duT7nqysseEVKhH,M9DFzNCCrchZUWDLyrSG5L76jyvTt6fP24,MACwGR3VwviRef6mBEAQphjX2cmFETJi8c,MX2oHuhRYY1NPxvLF6gPtDNu1mWJK9ZMy2,MSUgYDeGi2J7ZoqLdmBLfpJ8Pw1iBw6SS8,MSEU38jN8LG9RaJUsX6DMcPqLS9abMdTH6,MNCTq6LMWFRkMbqPxYE9Zvfh5nFQP6G8o4,MUVSThLVdeFwax5v5hejzE2oLcoW6WQxCr,MHTGYDG3veUAiJdzuGSPZNbnwK1r9QP2cn,MPq78GscHPMrAB1S798dJWevi6v3jUsk4n,MTuTpGSnpYmJ9yoSjKxx6vcQAYPMrkEcJ7,M8mw2hjF7Skq1xCxm3fCUAFfn35w1Rvanc,MEEdaHXxvjkWZK1hPPgQ5yVcpbhkaHefbY,MAyE9M1QVo1HQzowG8Xdig5DKN2Q4GMmgq,MKKW6e7pSVXMJPAaBP3aCDaTAJmcUUi5um,MKA2QRYQRZhWScyPNZGNjPhreHCp2M6DM1,MAAsSasdXWoPaURHdQpnH2NzkQPZ3Tf8y2,MJFBCYAbDDc8ziDkT4zYAVqHRZMCaYE6T7,MDdhyZXYw1qr1pSDAshZ43HRY2wDTHHohJ,MPSwEtkpHznPrhzExBTvFKzU1GMYBYwS3t,MH1DtkMVjemh6CiihzbsJTM5AVLQCM9wWb,MCAQoxxod1pjpTW5nbrLj9fLFub4S4r1st,MNcJhobwYsddQbocHij8qjdw7kja39kcnL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVvCZYabjzG9eQbrivm9jGLpncFxXxuB29,MAGrD3LgmPkBgjvdKnhHzPHTPKpY1EP5hX,MKM1ziT8pjKubH8Wmq1oTuECfFthDvzHYE,MKCULoGkN2E7rkYderhaKcF7enyRVGEmtv,MAGrD3LgmPkBgjvdKnhHzPHTPKpY1EP5hX,MAGrD3LgmPkBgjvdKnhHzPHTPKpY1EP5hX,MEvEYiycBUeFefiAWikKCcqDYwfsFDj8oy,MAVscVEoijfy5wbMyNPo3ryHVnuThGfHDk,MEojBv1kNMMXcY1snTFNevgnU6j4AfXr1D,MPAv7SWNCrk2TBjwV9Ro8QPfRgsUmHW4GN,MRFA4nHnD2S785vFpin65QHDFobSfzKyuF,MUKsXhXqRVwyFm7rERJX4HLZ1MzTyEwP8W,MRuxCNFjjLEbcvoXUSbftSSjkMn63yifFH,MJ25qkTyCXcDQTf5cXaUT45JjMGorXeQhH,MQuryfqixujbezJK27eakasLBnNjsf21AZ,MRdc8GNoc8H7QYHDeztuRDeF7Wsdy4uBFY,MAFw2SUhjp2YgTAnxo4KaVAjKm8vGi9auC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSvKNkzrFwCG7ikf1WnAuzhhASMCYC3dJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
